subject,relationship_imp,relationship,emotion_type,action,emotion_intensity,mb_violation_us,mb_violation_cn,perspective,culture
11,77,romantic,guilt,DateOthers,50,13970.03694,12150.37208,patient,usa
11,77,romantic,guilt,InvestRelationship,31.5,16434.07037,11898.96556,patient,usa
11,77,romantic,guilt,NoShareReward,23,16632.7844,13536.16537,patient,usa
11,77,romantic,guilt,RefuseCompensation,53.5,10831.89214,7639.881495,patient,usa
11,77,romantic,guilt,NoCompensate4Help,31,14287.10241,10786.24778,patient,usa
14,80,housemate,guilt,ComplainTroubles,0,12903.50363,14427.54241,patient,usa
14,80,housemate,guilt,NoInvest4Needs,0,15179.14423,16790.22063,patient,usa
14,80,housemate,guilt,NoTimeCompany,0,13876.29736,15515.91841,patient,usa
14,80,housemate,guilt,ExpressDisagree,10.5,13152.43438,15103.11419,patient,usa
14,80,housemate,guilt,RefuseTaskInstruct,0,14202.76214,16313.4933,patient,usa
14,80,housemate,guilt,PursueOwnAction,0,14062.94773,16176.04581,patient,usa
14,80,housemate,guilt,AvoidSex,0,8578.461149,11548.08723,patient,usa
14,80,housemate,guilt,DateOthers,0,12315.06713,15068.84187,patient,usa
14,80,housemate,guilt,InvestRelationship,0,12683.82125,16297.9113,patient,usa
14,80,housemate,guilt,NoShareReward,0,14486.22202,17333.42961,patient,usa
14,80,housemate,guilt,RefuseCompensation,0,8175.874909,11021.83508,patient,usa
14,80,housemate,guilt,NoCompensate4Help,25,11629.61519,14508.84702,patient,usa
15,100,closefr,guilt,ComplainTroubles,35,13009.91679,14568.86428,patient,usa
15,100,closefr,guilt,NoInvest4Needs,50,15527.707,17063.08669,patient,usa
15,100,closefr,guilt,NoTimeCompany,0,14196.68907,15676.41109,patient,usa
15,100,closefr,guilt,ExpressDisagree,67,12308.92078,14736.28943,patient,usa
15,100,closefr,guilt,RefuseTaskInstruct,0,13006.9719,15676.13012,patient,usa
15,100,closefr,guilt,PursueOwnAction,0,12966.87512,15634.17946,patient,usa
15,100,closefr,guilt,AvoidSex,0,10146.08006,11569.16166,patient,usa
15,100,closefr,guilt,DateOthers,0,13179.89377,15078.92277,patient,usa
15,100,closefr,guilt,InvestRelationship,0,14114.15625,15090.8637,patient,usa
15,100,closefr,guilt,NoShareReward,0,14568.51211,16242.60511,patient,usa
15,100,closefr,guilt,RefuseCompensation,0,8337.894622,9538.168445,patient,usa
15,100,closefr,guilt,NoCompensate4Help,0,11996.40492,13197.96964,patient,usa
17,100,parentchild,guilt,ComplainTroubles,0,17054.67091,17183.20313,patient,usa
17,100,parentchild,guilt,NoInvest4Needs,5.5,20254.76659,20103.02025,patient,usa
